شیوه سرمایه‌گذاری,تاریخ به‌روز رسانی,نرخ اعلامی,بازده یک ساله, کل ارزش خالص دارایی‌ها  ,نماد,نام صندوق,آدرس سایت,وضعیت تماس
قابل معامله,1405/04/05,35.00%,35.45,"20,155,767,352,810",صنهال,نهال سرمایه ایرانیان,sarmayefund.ir,
قابل معامله,1405/04/05,38.50%,33.27,"19,752,688,554,513",صایند,گنجینه آینده روشن,ayandehfund.com,
قابل معامله,1405/04/07,37%,34.83,"18,290,526,902,311",رابین,توسعه افق رابین,rabinetf.ir,
قابل معامله,1405/04/05,38.00%,36.95,"18,280,355,970,412",خاتم,خاتم ایساتیس پویا,etf.isatispm.com,
قابل معامله,1405/04/05,36.00%,35.51,"14,418,018,409,394",آلا,اعتماد ارغوان,etemadarghavan.sanaamc.com,
قابل معامله,1405/04/01,37.00%,31.989,"12,681,874,211,267",خزانه ملت,مختص اوراق دولتی ملت,mellatfund.ir,
قابل معامله,1405/04/07,,35.43,"12,571,318,269,038",بمان,بازده مانا,baazdehmanafund.ir,قطع تماس
قابل معامله,1405/04/07,,33.7,"11,643,620,668,302",دیبا,مختص اوراق دولتی بازده پایه بازار صبا,payeh.sabaamc.ir,
قابل معامله,1405/04/07,,35.08,"10,698,059,339,245",تصمیم,در اوراق بهادار با درآمد ثابت تصمیم,tasmim-sabet.ir,
قابل معامله,1405/04/01,38.86%,34.751,"8,859,793,312,389",کارما,در اوراق بهادار با درآمد ثابت کیهان,keyhanfund.ir,
قابل معامله,1405/04/07,39%,36.47,"8,236,693,214,898",ثابت اکسیژن,در اوراق بهادار با درآمد ثابت اکسیژن,nitrogen.o2am.ir,
قابل معامله,1405/04/05,39.00%,0,"6,573,872,663,015",رایبد,در اوراق بهادار با درآمد ثابت رایبد,raybodfixedincome.ir,
قابل معامله,1405/04/07,,35.74,"6,352,324,945,659",نیک گستر,توسعه سرمایه نیکی,nikigroupfund.ir,عدم پاسخگویی
قابل معامله,1405/04/07,36%,33.54,"5,977,821,949,668",گنجینه,گنجینه داریوش,meyarfund.com,
قابل معامله,1405/04/07,39.50%,35.408,"5,396,396,852,153",اطمینان,در اوراق بهادار با درآمد ثابت اطمینان هیوا,etminan.hiwapm.ir,
قابل معامله,1405/04/05,39.00%,31.4,"5,375,443,472,311",همگام,مختص اوراق دولتی همگام آشنا ایرانیان,hamgamfund.ir,
قابل معامله,1405/04/07,,29.17,"4,355,108,086,841",سخند,سپهر خبرگان نفت,khobregan-etf.com,
صدور و ابطال,1404/10/14,36.00%,30.405735,"2,956,452,236,687",----,پاداش اعتماد تمدن,padashetemadfund.ir,
قابل معامله,1405/04/07,39%,34.728,"2,845,916,085,341",سپنتارود,در اوراق بهادار با درآمد ثابت ماه آفرید سپینود,mahafarid.sepinudcapital.ir,
قابل معامله,1405/04/07,37%,36.04,"1,307,952,475,529",بازده,بازده پایا,baazdehsaabetfund.ir,
قابل معامله,1405/04/07,,35.669,"967,092,208,160",آسامید,مشترک آسمان امید,asamidfund.ir,منحل
قابل معامله,1405/04/07,,32.07,"617,892,501,134",آسود,نهال آرمان اقتصاد,nahalarmanfund.ir,عدم پاسخگویی
قابل معامله,1405/04/07,35%,34.34,"512,948,822,320",رایکا,نوع دوم رایکا,raykaetf.com,
قابل معامله,1405/04/07,,12.28,"121,229,201,175",ماکان,در اوراق بهادار با درآمد ثابت ثروت ماکان,makanfund.ir,عدم پاسخگویی
